description,Threats or intimidation
"Sorry, but this is so horribly ugly (and error-prone)",0
"That is a good point. Arguably, Minijail does allow you to fuck some things up (but not many) -- you can always pass a full capabilities mask for example.
 
 If you want to draft a version of this CL that delays the ELF linkage check, that's fine. If you want to land this to unblock other work, that's OK.",0
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",0
this is actually terrible ...,0
this is the only new bit. stupid git.,0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",0
"Those bastards! But my point is, there should be an uppercase L in 'liberty'.",0
use this cleanup commit to finally get rid of that odd --language handling for good.,0
WTF,0
wtf...,0
"yeah, we can make it a staticmethod.
  
  I just hate those docs, as they drift out of sync.",0
You are an evil :O!,0
"You mean after executing the template? It is not trivial, since \n are significant inside code snippets.
 
 I failed to understand how to force text/template to emit correct spaces. I tried {- and -} and various combinations of thereof. This shit is insane. I gave up.",0
"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",0
/It may happen that a service die/A service may die/,0
"@zhiyan, thanks for helping explanation. Overall it's correct. And you're suggestion makes sense for me, will improve it in next PS.
  
  @iccha, actually, this patch is related to https://review.openstack.org/#/c/63707/ in that patch, we're trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. The try/except can make sure we can iterate all the locations to get an available image. I improve it at here since it's breaking some unit test cases since we're introducing some new behaviour by this change. Does it make sense for you?",0
"all the code you have inline below should be refactored and put into a main function
 
  main() {
  ...
  }
  main ""$@""",0
"Are you sure this leads to a color that makes the white letter readable?
  You need to do something on DrawFallbackIconLetter to draw either WHITE or BLACK depending on the luminosity of the background.
  
  Based on W3C recommendations, here's what you do:
  
  def luminance(r, g, b):
  for each c in r,g,b:
  c = c / 255.0
  if c <= 0.03928 then c = c/12.92 else c = ((c+0.055)/1.055) ^ 2.4
  L = 0.2126 * r + 0.7152 * g + 0.0722 * b
  return L
  
  
  l = luminance(r, g, b)
  if l > 0.179 use #000000 else use #ffffff
  
  That's the way to go.
  
  There's already a GetRelativeLuminance that you could use instead, but it's garbage. :)",0
"As we're moving to have tenant in headers, should we probably kill it from the beginning?",0
"because this fix modify string format from xxxxxx, DUMMY to xxx DUMMY xxx, (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print 444 %s 444, aaa
  444 %s 444 aaa
  
  now:
  >>> print 444 %s 444 % aaa
  444 aaa 444",0
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print ""444 %s 444"", ""aaa""
  444 %s 444 aaa
  
  now:
  >>> print ""444 %s 444"" % ""aaa""
  444 aaa 444",0
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print ""444 %s 444"", ""aaa""
  444 %s 444 aaa
  
  now:
  >>> print ""444 %s 444"" % ""aaa""
  444 aaa 444",0
"better pass by value,<br><br> bool bIsTextCat<br><br>(or just ""bool isTextCat"" to avoid the ugly ""misunderstood Hungarian"" prefix)",0
bool session_adopted_ = false;,0
"Checking the _REG_PAGE_COUNT register is more reliable. Raising an exception skips the following StopDumpingToMemory call, meaning that the audio continues to dump.",0
Could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch?,0
Done,0
Done<br><br>Damn it...,0
fake.VOLUME_ID,0
FK should be data_sources.id,0
"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0
Here should be admin_snapshots_client.reset_snapshot_status,0
"I am confused.
  
  This is the tar process we are checking. If it has exited, why do we need to kill it? its already dead?
  
  We already check the exit code in finish_subprocess.",0
"I have a doubt (which could be dumb). 'fqdn' should be resolved with in the namespace context or the host context ?
  In this fix, I am assuming it to be host context.",0
"I have no idea why $(LOCAL_PATH)/genserev.py works...
 
 Why is LOCAL_PATH here have tools it..??
 
 This worked locally, do I have some cruft in out I need to clean up to see this fail properly?",0
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0
I think port_status_notifier should still be a member of mech_driver (be self.port_status_notifier). Otherwise it may be garbage collected and stop working.,0
"I think trying to establish this->pData == nullptr as a valid state is going down a rat's hole (having to adapt all places that read pData) for no benefit (see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a this->pData == nullptr state not arise)",0
"I think you're just missing my point, or I am stupid enough to be unable to convey it properly.",0
IIFE is malformed.. should be })();,0
i'm not entirely sure how to run a test wit a trybot w/out messing up the live system ...,0
i'm wondering if there isn't a cleaner way to do this? i'm very much abusing jsonutils here!,0
"Indeed, mpu_protect_ram() already did the same thing in commom/system.c. I think this part is useless.",0
"Instead of CloudDBInstance, I would use CloudDatabase.
  
  Needs docstring.",0
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0
"Is there any reason you don't fail if this is not true? Seems like a mangled header would get by this check.
  
  nit: startswith may read cleaner",0
"It should be
  
  testr_args += %s % set_name",0
"Line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.",0
"LOG.error instead of LOG.exception
  
  LOG.exception should be used when you have a traceback",0
"Missing Signed-off-by:
 (you can both yours and mine)
 
 git commit --amend -s
 will add yours automatically",0
nit: /* isTest */,0
"nit: A little ugly / confusing why you don't need this in write_len. Maybe just store addr in a temp variable and put it in both ""if"" statements?",0
nit: get*_() instead of compute_(). We're not computing anything.,0
nit: newline after is_source_touch_event_set_non_blocking.,0
nit: these migth be the first check in the routine (I think we'll hit this 99% of cases),0
"nit: use std::make_unique here
  
  _syncedSessionsObserver = std::make_unique<synced_sessions::SyncedSessionsObserverBridge>(
  self, _browserState);",0
nit: validating *a* request body,0
"OK - I suggest you actually write 'refers to the config element' here, then, otherwise dumb people like me will wonder where the pool table is. (In the snooker room, presumably.)",0
Please clean up after this fails before returning.,0
"Please, remove indention of commit message.",0
private_key=keypair['private_key'],0
remove the white space here,0
remove ws here an below.,0
should this maybe be called rootwrap-xenapi? or rootwrap-xen-dom0? I'm wondering if dom0 isn't distinct enough to non-xen for them to know to ignore this file.,0
Should we assert anything here? Or that's already all done by findByFileName?,0
SkRect local_bounds = gfx::RectToSkRect(GetLocalBounds());,0
"so you have rename fields to obj_fields because of here, right?",0
"style is camel case, myClientSecret, myClientId, myRefreshToken",0
"the comment is... useless. the function is called 'validate_hash', obviously we are validating an hash here :-)",0
these downcasts need to be static_cast now,0
"This _exec_ipmitool() method(will attempt 3 times(L101) if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool() method, default is 3 as below?
  
  def _exec_ipmitool(driver_info, command, attempts=3):
  ...
  
  so we just call it with attempts=1 here for validation action:
  
  _exec_ipmitool(driver_info, mc info, attempts=1)",0
"This cast is unavoidable, since params is a mojom struct. Ditto below.",0
this is useless if you use a boolean.,0
"this kind of string-based flow manipulation should be under ovs_ofctl/.
  probably ofswitch.py",0
This one looks to be useless.,0
This should be a URIOpt instead of StrOpt.,0
"This should be just using ""trans"" instead of ""blocktrans""",0
this should be setup_receiver (PEP8),0
uint8_t constexpr kUninit = 0xFF;,0
Unfinished docstring.,0
"Use mock_thread_instance = mock.MagicMock(isAlive=mock.MagicMock(return_value=False))
  
  remove L69",0
useless braces,0
useless line,0
Useless trailing '-'. See the implementation of rand_name(),0
What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0
"What test harness are you using for this? Why not use unittest2? It is already installed and has a consistent interface and output. [Just curious... I don't see (from this commit) how these tests are being executed, so I thought I would ask.]",0
Whitespaces should be removed.,0
why aren't you using $ACTUAL_FILTERS instead of writing them by hand?,0
worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place?,0
"Wouldn't it be better to re-sync the databases? Neutron DB is the master. We don't want to rollback a change just because the slave couldn't commit it.
  
  If Neutron allowed the change, Dragonflow must accept it one way or another.",0
wrap the body of your commit messages at 72 characters.,0
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0
"You can just leave this uncommented, it works with NO_THREAD_SAFETY_ANALYSIS",0
"you can use:
  
  if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0
"You do leave the SPI_TX_CH_ON bit set, though. As a SPI noob I guess I would have thought that you'd turn it off when you flip RX on. ...and if you actually used the packet count I think you _could_ turn it off.
 
 The code will end up putting 0xff on the bus (I think) when you sit and read.",0
you have deleted _prepare_test,0
"(Yuck, I think min and max would actually have to query rd.min() and rd.max()).",0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover other cases (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(image url failed fetch returned: <Any HTTP status that you can think about>)
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0
aaarrghh this HW is a disaster ... who designed such a random assignment,0
actually C enums don't really check IIRC and never have. You can assign a bogus value. They're not that useful. I'm happy to get rid of this crap however.,0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",0
Ah damn I misread the bug -_-,0
"ah, that's nice, encoding stuff already crap",0
All this shit will be better in the next patch.,0
"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",0
"Anal, but I can mention it may be used by third party packages. :)",0
any reasons for not using @decorators or context managers here? It's strange you don't stop these mocks.,0
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,0
"as previously, you need to put this in a USE_ANDROID_EMU block, and provide a solution that works with a single server for the non AndroidEmu build of QEMU2. I know that sucks, sorry about that :(",0
"Because the : operator is dumb, it doesn't take nullopt here, and
  kerberos_files_handler_.SetFiles(
  response.files().has_krb5cc() ? response.files().krb5cc()
  : base::Optional<std::string>(),
  response.files().has_krb5conf() ? response.files().krb5conf()
  : base::Optional<std::string>());
 is one line longer and less readable.",0
bouh bouh shame,0
"CamelCase, how ugly. But has nothing to do with the patch.",0
Can we reduce this down to 1 sec or so? 5 seems awful large!,0
check yourself before you wreck yourself...,0
"Crap, I thought I had that in there.",0
"Crap, this is an artifact of a previous revision. It's simply the last time a change was made to Tuskar's cloud.",0
crap. i suspect we're really just papering over the real bug here.,0
Crap. Sorry about that. Done.,0
"Dammit... good catch... 
  
  Done",0
"Damn you're right, should be
 
 static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_') ;
 uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
 return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;",0
Damn! Thought I caught all those! Thanks.,0
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,0
"damn, and I thought I had gotten it right :P",0
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now, I guess.",0
"damn, i thought i got all those.",0
"Damn, someday I'll learn how to spell, lol.",0
Damn. I thought I'd removed those. Sorry.,0
damn.. I missed that one. Thanks,0
"damnit, I hate it when I forget to save the file before I commit ;-)
 
 yes they were notes as I was coding the C file
 
 Done.",0
"darn, I wished we had passed the context here! Technically speaking this change was introduced by abc16ebf in Kilo. Perhaps we can tweak it to add the context, before Kilo ships? Besides, it looks like an internal API.
  
  Thoughts?",0
"darn. you right. :)
  
  peer programming works! or sileht programming works.",0
"Does this mean that if the header is corrupt, we're screwed?",0
"doesn't this just mean we fucked up the mips syscall.S in bionic? the other architectures move the syscall number into the appropriate register and then make that system call directly. on mips, we actually use a 'syscall' system call. i don't think that's necessary, and we should just fix the mips syscall.S in bionic.
 
 (is __NR_syscall even implemented? i can't find it in the kernel source.)",0
doh. its awful! it should not be our work...,0
"Done, if ugly.",0
"Done.
 Of course, excuse the brain fart :)",0
"For this, you'd just check the whether the size of |entries| is === 1. Another option coul dbe to move the checks to the caller, but that might be more clumsy.",0
Forget to say. Maybe you have seen suck behaviour in real-life? Could you please provide an example?,0
Format requires () and not <> around emails. I know it sucks.,0
function keyword is a bashism and IMHO looks ugly compared to 'usage() {'.,0
hmm.. that's actually a lot prettier. darn.,0
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
  I vote we just dis-allow that...",0
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.",0
How the heck did that get in there? Done....,0
"I disagree. In this instance it is an instance that we have partially created, and that the user has no knowledge of its existence. We should not leave half created turds lying around. However, you have drawn attention to that fact that we are eating an exception, which we should not be doing.",0
I got rid of all the LDAP-specific nonsense,0
I guess we'll take the word SHIT out.,0
"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.",0
I shouldn't need to load an L3 agent to test the DB logic behavior! That's nonsense.,0
"I think it would be nice if we have more than one choice there, like if [[ ""$users_agree"" == ""y"" ]]",0
I think the formatting may have gotten screwed up (or Gerrit made it look ugly),0
"I think you need the Windows support thing here as well. Oh, and to set that stupid greendns env var, although I can do that in another patch.",0
"I'd like a bug somewhere, and a reference to same, for this fugly.",0
"I'll be damned. I just assumed that weak_ptr needs a full definition of ServiceProxy to generate the default destructor of WeaveClient. But I actually tried and it works just fine (I guess because refcount is not really stored in the controlled class but in a separate storage). Anyway, removed the destructor altogether.",0
"In the future, we should look into seeing if we make this a little cleaner instead of a crap load of info() lines.",0
"Interesting -- that kinda sucks, but I guess as long as this works, for now...",0
"Is this still used anywhere?
  
  (later)
  
  Looks like still used in nova.tests.unit.test_service, so I guess we can't remove it. Damn.",0
"Just a style note: this is really *ugly* indentation. Also, is there a reason you couldn't use the decorator mocks and avoid the nesting?",0
"Just for readability, but it does look a bit silly now.",0
lazy-lazy =),0
LOL you called my decorator stupid...=),0
might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a go do this message when the window is 1s sucks),0
much better (that acoles is pretty darn good huh...),0
"Normally I'm anal about avoiding duplication, but there is subtle enough differences between each that it's not really worth it; same goes for the prefix bit imo.",0
"note: this URL is going to be dead/broken in less than a month, so listing it isn't terribly useful",0
"Oh good catch, dammit, I should definitely write a new Object then.",0
"Oh, damn it. Now I get it. Yeah that makes sense. Ignore my comment :-)",0
"Oh, yeah, what a crap. Maybe",0
"Ok I am going back to glasses, I cant read what I am typing, contacts suck.
 
 end up with an empty certificate...",0
