description,Personal attacks,Threats or intimidation,Mockery,Lack of specificity,Discouragement without guide,Disregard for other time or boundaries,Unconscious bias,Dismissive attitude,Excessive control,Social,Toxic,AntiSocial,NonToxic
bool session_adopted_ = false;,0,0,0,0,0,0,0,0,0,1,0,0,1
"But you still have the data() used as null-terminated string below. StringPiece::data() generally does not guarantee the terminator.
 
 Keep this as is, we will deal with it later.",0,0,0,0,1,0,0,0,1,0,0,1,1
"Checking the _REG_PAGE_COUNT register is more reliable. Raising an exception skips the following StopDumpingToMemory call, meaning that the audio continues to dump.",0,0,0,0,0,0,0,0,0,1,0,0,1
consider rename to current_l3_agents,0,0,0,0,0,0,0,0,1,0,0,1,1
Could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch?,0,0,0,0,0,0,0,0,0,1,0,0,1
"die unrelated change!!!. :)
  __
  ____________| &|____
  unrelated change /_____________\ &&&&|
  \_____________/ Â ____|
  |__|
  
  don't ask... I had that sword in my editor yet...",0,0,1,1,0,0,0,1,1,0,0,1,1
Die. Die. Die XML. I'd remove this hideous reminder of a long-lost sad world.,1,1,0,1,1,0,0,1,0,0,0,1,1
Done,0,0,0,0,0,0,0,0,0,1,0,0,1
Done<br><br>Damn it...,0,0,0,1,0,0,0,0,0,0,0,1,1
fake.VOLUME_ID,0,0,0,0,0,0,0,0,0,1,0,0,1
FK should be data_sources.id,0,0,0,0,0,0,0,0,0,1,0,0,1
"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0,0,0,0,0,0,0,0,0,1,0,0,1
Here should be admin_snapshots_client.reset_snapshot_status,0,0,0,0,0,0,0,0,0,1,0,0,1
"I am confused.
  
  This is the tar process we are checking. If it has exited, why do we need to kill it? its already dead?
  
  We already check the exit code in finish_subprocess.",0,0,0,1,0,0,0,0,0,0,0,1,1
"I have a doubt (which could be dumb). 'fqdn' should be resolved with in the namespace context or the host context ?
  In this fix, I am assuming it to be host context.",0,0,0,0,1,0,0,0,0,0,0,1,1
"I have no idea why $(LOCAL_PATH)/genserev.py works...
 
 Why is LOCAL_PATH here have tools it..??
 
 This worked locally, do I have some cruft in out I need to clean up to see this fail properly?",0,0,0,0,0,0,0,0,0,1,0,0,1
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0,0,0,0,0,0,0,0,0,1,0,0,1
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0,0,0,0,0,0,0,0,0,1,0,0,1
"I really don't like this, we should remove all of them instead of adding more.",0,0,0,0,1,1,0,1,0,0,0,1,1
I think port_status_notifier should still be a member of mech_driver (be self.port_status_notifier). Otherwise it may be garbage collected and stop working.,0,0,0,0,0,0,0,0,0,1,0,0,1
"I think trying to establish this->pData == nullptr as a valid state is going down a rat's hole (having to adapt all places that read pData) for no benefit (see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a this->pData == nullptr state not arise)",0,0,0,0,0,0,0,0,0,1,0,0,1
"I think you're just missing my point, or I am stupid enough to be unable to convey it properly.",0,0,0,1,1,0,0,0,0,0,0,1,1
I'd like to see a lot of these mocks moved to tests/mock/{mock_file}.py,0,0,0,0,0,0,0,0,1,0,0,1,1
IIFE is malformed.. should be })();,0,0,0,0,0,0,0,0,0,1,0,0,1
i'm not entirely sure how to run a test wit a trybot w/out messing up the live system ...,0,0,0,0,0,0,0,0,0,1,0,0,1
"I'm not sure what you mean by reference error..
  
  How about from line 220~
  
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0,0,0,0,0,1,0,0,0,0,0,1,1
"I'm not sure what you mean by reference error..
  
  How about from line 220~
  
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0,0,0,0,0,1,0,0,0,0,0,1,1
i'm wondering if there isn't a cleaner way to do this? i'm very much abusing jsonutils here!,0,0,0,0,0,0,0,0,0,1,0,0,1
"Indeed, mpu_protect_ram() already did the same thing in commom/system.c. I think this part is useless.",0,0,0,0,0,0,0,0,0,1,0,0,1
"Instead of CloudDBInstance, I would use CloudDatabase.
  
  Needs docstring.",0,0,0,0,0,0,0,0,0,1,0,0,1
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0,0,0,0,0,0,0,0,0,1,0,0,1
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0,0,0,0,0,0,0,0,0,1,0,0,1
"Instead of wrap_delimiter(), utils.wrap_delimiter() should be used.
  For all wrap_delimiter() calls below, they should be replaced by utils.wrap_delimiter() .",0,0,0,0,0,0,0,0,1,0,0,1,1
"Is there any reason you don't fail if this is not true? Seems like a mangled header would get by this check.
  
  nit: startswith may read cleaner",0,0,0,1,1,0,0,0,0,0,0,1,1
"It should be
  
  testr_args += %s % set_name",0,0,0,1,0,0,0,0,0,0,0,1,1
"Line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.",0,0,0,0,0,0,0,0,0,1,0,0,1
"LOG.error instead of LOG.exception
  
  LOG.exception should be used when you have a traceback",0,0,0,0,0,0,0,0,0,1,0,0,1
"Missing Signed-off-by:
 (you can both yours and mine)
 
 git commit --amend -s
 will add yours automatically",0,0,0,0,0,0,0,0,0,1,0,0,1
must be executed,0,0,0,0,0,0,0,0,1,0,0,1,1
nit - should be without '{' and '}'?,0,0,0,0,0,1,0,0,0,1,0,0,1
nit: /* isTest */,0,0,0,0,0,0,0,0,0,1,0,0,1
"nit: A little ugly / confusing why you don't need this in write_len. Maybe just store addr in a temp variable and put it in both ""if"" statements?",0,0,0,1,1,0,0,0,0,0,0,1,1
nit: get*_() instead of compute_(). We're not computing anything.,0,0,0,0,0,0,0,0,0,1,0,0,1
nit: newline after is_source_touch_event_set_non_blocking.,0,0,0,1,0,0,0,0,0,0,0,1,1
"nit: Starting C++11, this could be done directly in the declaration. ( bool have_token = false;)",0,0,0,1,0,0,1,0,0,0,0,1,1
nit: these migth be the first check in the routine (I think we'll hit this 99% of cases),0,0,0,0,0,0,0,0,0,1,0,0,1
"nit: use std::make_unique here
  
  _syncedSessionsObserver = std::make_unique<synced_sessions::SyncedSessionsObserverBridge>(
  self, _browserState);",0,0,0,0,0,0,0,0,0,0,0,1,1
nit: validating *a* request body,0,0,0,0,0,0,0,0,0,1,0,0,1
"No, the internal is for services.
  
  Splitting on ports is a dumb way to do security, but we are stuck with it for now",0,0,0,1,0,0,1,1,0,0,0,1,1
"OK - I suggest you actually write 'refers to the config element' here, then, otherwise dumb people like me will wonder where the pool table is. (In the snooker room, presumably.)",0,0,1,1,0,0,0,0,0,0,0,1,1
Please clean up after this fails before returning.,0,0,0,1,1,0,0,0,0,0,0,1,1
"Please, remove indention of commit message.",0,0,0,1,0,0,0,0,0,0,0,1,1
private_key=keypair['private_key'],0,0,0,0,0,0,0,0,0,1,0,0,1
remove the white space here,0,0,0,0,0,0,0,0,0,1,0,0,1
Remove VMAX,0,0,0,0,0,0,0,1,1,0,0,1,1
remove ws here an below.,0,0,0,1,0,0,0,0,0,0,0,1,1
should this maybe be called rootwrap-xenapi? or rootwrap-xen-dom0? I'm wondering if dom0 isn't distinct enough to non-xen for them to know to ignore this file.,0,0,0,0,0,0,0,0,0,1,0,0,1
Should we assert anything here? Or that's already all done by findByFileName?,0,0,0,0,0,0,0,0,0,1,0,0,1
"silly me, that was the initial idea",1,0,0,0,0,0,0,0,0,0,0,1,1
SkRect local_bounds = gfx::RectToSkRect(GetLocalBounds());,0,0,0,0,0,0,0,0,0,1,0,0,1
"so you have rename fields to obj_fields because of here, right?",0,0,0,0,0,0,0,0,0,1,0,0,1
"style is camel case, myClientSecret, myClientId, myRefreshToken",0,0,0,1,0,0,0,0,0,0,0,1,1
"the comment is... useless. the function is called 'validate_hash', obviously we are validating an hash here :-)",0,0,1,0,0,0,0,0,0,0,0,1,1
these downcasts need to be static_cast now,0,0,0,0,0,0,0,0,0,1,0,0,1
"This _exec_ipmitool() method(will attempt 3 times(L101) if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool() method, default is 3 as below?
  
  def _exec_ipmitool(driver_info, command, attempts=3):
  ...
  
  so we just call it with attempts=1 here for validation action:
  
  _exec_ipmitool(driver_info, mc info, attempts=1)",0,0,0,0,0,0,0,0,0,1,0,0,1
This and below assignments also should be removed,0,0,0,0,0,0,1,0,0,0,0,1,1
"This cast is unavoidable, since params is a mojom struct. Ditto below.",0,0,0,0,0,0,0,0,0,1,0,0,1
this is useless if you use a boolean.,0,0,0,1,1,0,0,0,0,0,0,1,1
"this kind of string-based flow manipulation should be under ovs_ofctl/.
  probably ofswitch.py",0,0,0,0,0,0,0,0,0,1,0,0,1
This one looks to be useless.,0,0,0,0,1,0,0,0,0,0,0,1,1
This should be a URIOpt instead of StrOpt.,0,0,0,0,0,0,0,0,0,1,0,0,1
this should be flavor_id = self.flavor_id,0,0,0,0,0,0,1,0,1,0,0,1,1
"This should be just using ""trans"" instead of ""blocktrans""",0,0,0,0,0,0,0,0,0,1,0,0,1
this should be setup_receiver (PEP8),0,0,0,1,1,0,0,0,0,0,0,1,1
uint8_t constexpr kUninit = 0xFF;,0,0,0,0,0,0,0,0,0,1,0,0,1
Unfinished docstring.,0,0,0,0,0,0,0,0,0,1,0,0,1
"Use mock_thread_instance = mock.MagicMock(isAlive=mock.MagicMock(return_value=False))
  
  remove L69",0,0,0,0,0,0,0,0,0,1,0,0,1
useless braces,0,0,0,0,0,0,0,0,0,1,0,0,1
useless line,0,0,0,1,1,0,0,0,0,0,0,1,1
Useless trailing '-'. See the implementation of rand_name(),0,0,0,0,1,0,0,0,0,0,0,1,1
What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0,0,0,0,0,0,0,0,0,1,0,0,1
"What test harness are you using for this? Why not use unittest2? It is already installed and has a consistent interface and output. [Just curious... I don't see (from this commit) how these tests are being executed, so I thought I would ask.]",0,0,0,0,0,0,0,0,0,1,0,0,1
Whitespaces should be removed.,0,0,0,0,0,0,0,0,0,1,0,0,1
why aren't you using $ACTUAL_FILTERS instead of writing them by hand?,0,0,0,0,0,0,0,0,0,1,0,0,1
worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place?,0,0,0,1,1,0,0,0,0,0,0,1,1
"Wouldn't it be better to re-sync the databases? Neutron DB is the master. We don't want to rollback a change just because the slave couldn't commit it.
  
  If Neutron allowed the change, Dragonflow must accept it one way or another.",0,0,0,0,0,0,0,0,0,1,0,0,1
wrap the body of your commit messages at 72 characters.,0,0,0,0,0,0,0,0,0,1,0,0,1
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0,0,0,0,0,0,0,0,0,1,0,0,1
"You can just leave this uncommented, it works with NO_THREAD_SAFETY_ANALYSIS",0,0,0,0,0,0,0,0,0,1,0,0,1
"you can use:
  
  if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0,0,0,0,0,0,0,0,0,1,0,0,1
"You do leave the SPI_TX_CH_ON bit set, though. As a SPI noob I guess I would have thought that you'd turn it off when you flip RX on. ...and if you actually used the packet count I think you _could_ turn it off.
 
 The code will end up putting 0xff on the bus (I think) when you sit and read.",0,0,0,0,0,0,0,0,0,1,0,0,1
you have deleted _prepare_test,0,0,0,0,0,0,0,0,0,1,0,0,1
!!!!! This is an ugly reference back to the agent loop. Can we get rid of it? It's the only one...,0,0,1,0,1,0,0,1,0,0,1,1,0
"#ifdef CONFIG_PM_RUNTIME
 
 if you are feeling very anal about saving 1 byte...",1,0,0,0,0,0,0,0,0,0,1,1,0
"(No action required) validating behavior, lovely :/ Can't wait for you to replace this crap with their functional betters.",1,1,1,0,1,1,0,1,0,0,1,1,0
"(Yuck, I think min and max would actually have to query rd.min() and rd.max()).",0,0,0,0,0,0,0,0,0,1,1,0,0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover ""other cases"" (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(""image url failed fetch returned: <Any HTTP status that you can think about>"")
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0,0,0,0,0,0,0,0,0,1,1,0,0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover ""other cases"" (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(""image url failed fetch returned: <Any HTTP status that you can think about>"")
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0,0,0,0,0,0,0,0,0,1,1,0,0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover other cases (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(image url failed fetch returned: <Any HTTP status that you can think about>)
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0,0,0,0,0,0,0,0,0,1,1,0,0
aaarrghh this HW is a disaster ... who designed such a random assignment,0,0,1,1,1,0,0,0,0,0,1,1,0
actually C enums don't really check IIRC and never have. You can assign a bogus value. They're not that useful. I'm happy to get rid of this crap however.,0,0,1,0,0,0,0,0,0,0,1,1,0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0,0,0,0,0,0,0,0,0,1,1,0,0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0,0,0,0,0,0,0,0,0,1,1,0,0
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",0,0,0,0,0,0,0,0,0,1,1,0,0
Ah damn I misread the bug -_-,0,0,0,1,0,0,0,0,0,0,1,1,0
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.",1,0,0,0,0,1,0,1,0,0,1,1,0
"ah, shit. will fix.",1,0,1,0,0,0,0,0,0,0,1,1,0
"ah, that's nice, encoding stuff already crap",0,0,0,1,1,0,0,0,0,0,1,1,0
All this shit will be better in the next patch.,0,0,0,1,0,0,0,0,0,0,1,1,0
"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Anal, but I can mention it may be used by third party packages. :)",0,0,0,1,0,0,0,0,0,0,1,1,0
any reasons for not using @decorators or context managers here? It's strange you don't stop these mocks.,0,0,0,0,0,0,0,0,0,1,1,0,0
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,0,0,0,0,0,0,0,0,0,1,1,0,0
"arse, I had a change which did this but backed it out because it was more disruptive ;)",0,0,0,1,1,0,0,1,0,0,1,1,0
"as previously, you need to put this in a USE_ANDROID_EMU block, and provide a solution that works with a single server for the non AndroidEmu build of QEMU2. I know that sucks, sorry about that :(",0,0,0,0,1,0,0,0,0,0,1,1,0
Basically: if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion: self.fail('bad test setup i hate you so much') And: if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers: self.fail('oh you dirty bastard'),1,0,0,1,1,0,1,0,0,0,1,1,0
"because bash sucks (and I suck at writing bash also), it doesn't like the empty array when you run with -u.",0,0,0,0,0,0,1,0,0,0,1,1,0
"Because the : operator is dumb, it doesn't take nullopt here, and
  kerberos_files_handler_.SetFiles(
  response.files().has_krb5cc() ? response.files().krb5cc()
  : base::Optional<std::string>(),
  response.files().has_krb5conf() ? response.files().krb5conf()
  : base::Optional<std::string>());
 is one line longer and less readable.",0,0,0,0,0,0,0,0,0,1,1,0,0
bouh bouh shame,0,0,1,1,1,0,0,0,0,0,1,1,0
"CamelCase, how ugly. But has nothing to do with the patch.",0,0,1,1,0,0,0,0,0,0,1,1,0
Can we reduce this down to 1 sec or so? 5 seems awful large!,0,0,0,0,0,0,0,0,0,1,1,0,0
check yourself before you wreck yourself...,0,0,1,0,0,0,0,0,0,0,1,1,0
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.",0,0,0,0,0,1,0,1,0,0,1,1,0
Could i selfishly add this by the next patch? Just to keep your precious +2? ...a little shame.,0,0,0,0,0,1,0,1,0,0,1,1,0
"Crap, I thought I had that in there.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Crap, this is an artifact of a previous revision. It's simply the last time a change was made to Tuskar's cloud.",0,0,0,0,0,0,0,0,0,1,1,0,0
Crap. Thank you. Fixed now.,1,0,0,0,0,0,0,0,1,0,1,1,0
crap. i suspect we're really just papering over the real bug here.,0,0,0,0,0,0,0,0,0,1,1,0,0
Crap. Sorry about that. Done.,0,0,0,1,0,0,0,0,0,0,1,1,0
Crazy rebasing... I'll restore last values.,0,0,0,1,0,1,0,0,0,0,1,1,0
"Dammit... good catch... 
  
  Done",0,0,0,1,0,0,0,0,0,0,1,1,0
Damn abbreviations :-P,1,0,1,0,0,0,0,0,0,0,1,1,0
Damn grammar :-P,1,0,1,0,0,0,0,0,0,0,1,1,0
"Damn you're right, should be
 
 static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_') ;
 uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
 return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;",0,0,0,0,0,0,0,0,0,1,1,0,0
Damn!,1,0,0,1,1,1,0,0,0,0,1,1,0
Damn! Thought I caught all those! Thanks.,0,0,0,0,0,0,0,0,0,1,1,0,0
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,0,0,0,1,1,0,0,0,0,0,1,1,0
"damn, and I thought I had gotten it right :P",0,0,0,0,0,0,0,0,0,1,1,0,0
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now, I guess.",0,0,0,1,0,0,0,0,0,0,1,1,0
"Damn, I meant to and then I forgot.",1,0,0,0,0,0,0,0,0,0,1,1,0
"damn, i thought i got all those.",0,0,0,0,0,0,0,0,0,1,1,0,0
"Damn, someday I'll learn how to spell, lol.",0,0,1,1,0,0,0,0,0,0,1,1,0
Damn. I thought I'd removed those. Sorry.,0,0,0,0,0,0,0,0,0,1,1,0,0
damn.. I missed that one. Thanks,0,0,0,1,0,0,0,0,0,1,1,0,0
"Damned if you do, damned if you don't (I'm doing it because I've gotten nits about it).
 
 I do the same as you're suggesting in other code bases...",0,0,0,0,0,0,1,0,0,0,1,1,0
"damnit, I hate it when I forget to save the file before I commit ;-)
 
 yes they were notes as I was coding the C file
 
 Done.",0,0,0,0,0,0,0,0,0,1,1,0,0
"darn, I wished we had passed the context here! Technically speaking this change was introduced by abc16ebf in Kilo. Perhaps we can tweak it to add the context, before Kilo ships? Besides, it looks like an internal API.
  
  Thoughts?",0,0,0,0,0,0,0,0,0,1,1,0,0
"darn. you right. :)
  
  peer programming works! or sileht programming works.",0,0,0,0,0,0,0,0,0,1,1,0,0
do they use GCC? the macro is only because clang sucks at fortify (and the clang folks seem pretty uninterested in having working fortification). GCC gets an inline function.,0,0,1,0,0,0,1,0,0,0,1,1,0
"Does this mean that if the header is corrupt, we're screwed?",0,0,0,0,1,0,0,0,0,0,1,1,0
"doesn't this just mean we fucked up the mips syscall.S in bionic? the other architectures move the syscall number into the appropriate register and then make that system call directly. on mips, we actually use a 'syscall' system call. i don't think that's necessary, and we should just fix the mips syscall.S in bionic.
 
 (is __NR_syscall even implemented? i can't find it in the kernel source.)",0,0,0,0,0,0,0,0,0,1,1,0,0
doh. its awful! it should not be our work...,0,0,0,0,0,0,0,0,0,1,1,0,0
"Done, if ugly.",0,0,0,1,0,0,0,0,0,0,1,1,0
Done. Curse my cargoculting!,1,0,0,0,1,0,0,0,0,0,1,1,0
"Done.
 Of course, excuse the brain fart :)",0,0,0,1,0,0,0,0,0,0,1,1,0
Empty brackets looks ugly.<br> <br> Please remove it if possible.,0,0,0,0,0,0,0,1,0,0,1,1,0
exact same thing as a dumb mmap,0,0,1,0,0,0,0,1,0,0,1,1,0
"For this, you'd just check the whether the size of |entries| is === 1. Another option coul dbe to move the checks to the caller, but that might be more clumsy.",0,0,0,0,0,0,0,0,0,1,1,0,0
Forget to say. Maybe you have seen suck behaviour in real-life? Could you please provide an example?,0,0,0,0,0,0,0,0,0,1,1,0,0
Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,0,0,0,1,0,1,0,0,0,0,1,1,0
Format requires () and not <> around emails. I know it sucks.,0,0,0,0,0,0,0,0,0,1,1,0,0
"From IRC:
  
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
  
  so I think it's worth giving the tools/run_tests_common.sh idea a try",0,0,0,0,0,0,1,0,0,0,1,1,0
"From IRC:
  
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
  
  so I think it's worth giving the tools/run_tests_common.sh idea a try",0,0,0,0,0,0,1,0,0,0,1,1,0
function keyword is a bashism and IMHO looks ugly compared to 'usage() {'.,0,0,1,0,0,0,0,0,0,0,1,1,0
hmm.. that's actually a lot prettier. darn.,0,0,0,1,0,0,0,0,0,0,1,1,0
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
  I vote we just dis-allow that...",0,0,0,0,0,0,0,0,0,1,1,0,0
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
  I vote we just dis-allow that...",0,0,0,0,0,0,0,0,0,1,1,0,0
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.",0,0,0,0,0,0,0,0,0,1,1,0,0
"honestly, i might even change it to 60min. timeouts are supposed to catch the this is totally screwed up, let's abort not we're close to normal, but let's throw up everywhere anyways.",0,0,0,0,0,0,0,1,1,0,1,1,0
How the heck did that get in there? Done....,0,0,0,0,1,0,0,0,0,0,1,1,0
