description,Discouragement without guide
this should be setup_receiver (PEP8),1
useless line,1
Useless trailing '-'. See the implementation of rand_name(),1
worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place?,1
"ah, that's nice, encoding stuff already crap",1
"as previously, you need to put this in a USE_ANDROID_EMU block, and provide a solution that works with a single server for the non AndroidEmu build of QEMU2. I know that sucks, sorry about that :(",1
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,1
"Does this mean that if the header is corrupt, we're screwed?",1
How the heck did that get in there? Done....,1
"Just a style note: this is really *ugly* indentation. Also, is there a reason you couldn't use the decorator mocks and avoid the nesting?",1
"OMG, this alias is terrible!",1
"ooh, burn!",1
"Output formatting is kind of ugly right now, yeah.",1
"that English language stuff always confused the hell out of me.... yep, I kept wordsmithing this line and still didn't like it.",1
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
  
  Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",1
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
  
  Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",1
"The CBManagerState change in the new SDK is so sucky :-( We did https://chromium-review.googlesource.com/c/chromium/src/+/587510/5/device/bluetooth/bluetooth_adapter_mac.mm#43 on Mac (and see discussion on bug linked from that CL). But if this is the only place, this is fine too.",1
"These function names - specifically the ""stub1, stub2"" are ugly.",1
"This is kind of ugly...
 I think instead you should pass the timeout with the function when you register it, and keep a private max timeout requested variable",1
"Uh yeah so at the risk of driving you insane, you've got weighters twice here where you caller them weighers everywhere else.
  
  /duck",1
"Yes, and ... crap.",1
Your ordering is a little ugly. BUG= and TEST= should be above all the tags an the Change-Id should be together with all the Signed-off-bys. Then maybe I would have noticed that git hash the first time I looked at this.,1
consider rename to current_l3_agents,0
I'd like to see a lot of these mocks moved to tests/mock/{mock_file}.py,0
"I'm not sure what you mean by reference error..
  
  How about from line 220~
  
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0
"I'm not sure what you mean by reference error..
  
  How about from line 220~
  
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0
"Instead of wrap_delimiter(), utils.wrap_delimiter() should be used.
  For all wrap_delimiter() calls below, they should be replaced by utils.wrap_delimiter() .",0
must be executed,0
nit - should be without '{' and '}'?,0
"nit: Starting C++11, this could be done directly in the declaration. ( bool have_token = false;)",0
"No, the internal is for services.
  
  Splitting on ports is a dumb way to do security, but we are stuck with it for now",0
Remove VMAX,0
"silly me, that was the initial idea",0
This and below assignments also should be removed,0
this should be flavor_id = self.flavor_id,0
"#ifdef CONFIG_PM_RUNTIME
 
 if you are feeling very anal about saving 1 byte...",0
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.",0
"because bash sucks (and I suck at writing bash also), it doesn't like the empty array when you run with -u.",0
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.",0
Could i selfishly add this by the next patch? Just to keep your precious +2? ...a little shame.,0
Crap. Thank you. Fixed now.,0
Crazy rebasing... I'll restore last values.,0
"Damn, I meant to and then I forgot.",0
"Damned if you do, damned if you don't (I'm doing it because I've gotten nits about it).
 
 I do the same as you're suggesting in other code bases...",0
Empty brackets looks ugly.<br> <br> Please remove it if possible.,0
Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,0
"From IRC:
  
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
  
  so I think it's worth giving the tools/run_tests_common.sh idea a try",0
"From IRC:
  
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
  
  so I think it's worth giving the tools/run_tests_common.sh idea a try",0
"honestly, i might even change it to 60min. timeouts are supposed to catch the this is totally screwed up, let's abort not we're close to normal, but let's throw up everywhere anyways.",0
"I was thinking exactly the same. This was taken from another driver, but it seems silly.",0
just remove this ugly space from the end of the line please,0
liar!,0
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way? Can you just put this in the factory? Or put it at each client?,0
"nit: Looks ugly. I like this style, like a = b = f(), but not in this particular case. Decompose it, please.",0
"No, indent(1) is dumb. Fixed.",0
"no. this is cute, but EXIT_FAILURE is a system dependant constante
 which does not have to be -1. iow that create a risk of regression, just to be cute
 
 not to mention the wtf factor of prefixing fprintf, for instance",0
Oh crap! I missed this!!!!,0
Oooops. How comes this stupid thing happens. Thanks for the catch!,0
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,0
"That is a good point. Arguably, Minijail does allow you to fuck some things up (but not many) -- you can always pass a full capabilities mask for example.
 
 If you want to draft a version of this CL that delays the ELF linkage check, that's fine. If you want to land this to unblock other work, that's OK.",0
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",0
this is the only new bit. stupid git.,0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",0
"This is what the query looks like:
  
  SELECT ports.tenant_id AS ports_tenant_id, ports.id AS ports_id, ports.name AS ports_name, ports.network_id AS ports_network_id, ports.mac_address AS ports_mac_address, ports.admin_state_up AS ports_admin_state_up, ports.status AS ports_status, ports.device_id AS ports_device_id, ports.device_owner AS ports_device_owner, securitygroupportbindings.security_group_id AS securitygroupportbindings_security_group_id, ipallocations_1.port_id AS ipallocations_1_port_id, ipallocations_1.ip_address AS ipallocations_1_ip_address, ipallocations_1.subnet_id AS ipallocations_1_subnet_id, ipallocations_1.network_id AS ipallocations_1_network_id, allowedaddresspairs_1.port_id AS allowedaddresspairs_1_port_id, allowedaddresspairs_1.mac_address AS allowedaddresspairs_1_mac_address, allowedaddresspairs_1.ip_address AS allowedaddresspairs_1_ip_address, ml2_port_bindings_1.port_id AS ml2_port_bindings_1_port_id, ml2_port_bindings_1.host AS ml2_port_bindings_1_host, ml2_port_bindings_1.vnic_type AS ml2_port_bindings_1_vnic_type, ml2_port_bindings_1.profile AS ml2_port_bindings_1_profile, ml2_port_bindings_1.vif_type AS ml2_port_bindings_1_vif_type, ml2_port_bindings_1.vif_details AS ml2_port_bindings_1_vif_details, ml2_port_bindings_1.driver AS ml2_port_bindings_1_driver, ml2_port_bindings_1.segment AS ml2_port_bindings_1_segment, securitygroupportbindings_1.port_id AS securitygroupportbindings_1_port_id, securitygroupportbindings_1.security_group_id AS securitygroupportbindings_1_security_group_id, extradhcpopts_1.id AS extradhcpopts_1_id, extradhcpopts_1.port_id AS extradhcpopts_1_port_id, extradhcpopts_1.opt_name AS extradhcpopts_1_opt_name, extradhcpopts_1.opt_value AS extradhcpopts_1_opt_value, ml2_dvr_port_bindings_1.port_id AS ml2_dvr_port_bindings_1_port_id, ml2_dvr_port_bindings_1.host AS ml2_dvr_port_bindings_1_host, ml2_dvr_port_bindings_1.router_id AS ml2_dvr_port_bindings_1_router_id, ml2_dvr_port_bindings_1.vif_type AS ml2_dvr_port_bindings_1_vif_type, ml2_dvr_port_bindings_1.vif_details AS ml2_dvr_port_bindings_1_vif_details, ml2_dvr_port_bindings_1.vnic_type AS ml2_dvr_port_bindings_1_vnic_type, ml2_dvr_port_bindings_1.profile AS ml2_dvr_port_bindings_1_profile, ml2_dvr_port_bindings_1.cap_port_filter AS ml2_dvr_port_bindings_1_cap_port_filter, ml2_dvr_port_bindings_1.driver AS ml2_dvr_port_bindings_1_driver, ml2_dvr_port_bindings_1.segment AS ml2_dvr_port_bindings_1_segment, ml2_dvr_port_bindings_1.status AS ml2_dvr_port_bindings_1_status 
  FROM ports LEFT OUTER JOIN securitygroupportbindings ON ports.id = securitygroupportbindings.port_id LEFT OUTER JOIN ipallocations AS ipallocations_1 ON ports.id = ipallocations_1.port_id LEFT OUTER JOIN allowedaddresspairs AS allowedaddresspairs_1 ON ports.id = allowedaddresspairs_1.port_id LEFT OUTER JOIN ml2_port_bindings AS ml2_port_bindings_1 ON ports.id = ml2_port_bindings_1.port_id LEFT OUTER JOIN securitygroupportbindings AS securitygroupportbindings_1 ON ports.id = securitygroupportbindings_1.port_id LEFT OUTER JOIN extradhcpopts AS extradhcpopts_1 ON ports.id = extradhcpopts_1.port_id LEFT OUTER JOIN ml2_dvr_port_bindings AS ml2_dvr_port_bindings_1 ON ports.id = ml2_dvr_port_bindings_1.port_id 
  WHERE ports.id IN (:id_1, :id_2, :id_3, :id_4, :id_5, :id_6)
  
  Maybe we want to disable eager loading so it doesn't pull in all that crap we don't need? We really only want the port and security groups?",0
"Those bastards! But my point is, there should be an uppercase L in 'liberty'.",0
use this cleanup commit to finally get rid of that odd --language handling for good.,0
"yeah, we can make it a staticmethod.
  
  I just hate those docs, as they drift out of sync.",0
"You mean after executing the template? It is not trivial, since \n are significant inside code snippets.
 
 I failed to understand how to force text/template to emit correct spaces. I tried {- and -} and various combinations of thereof. This shit is insane. I gave up.",0
/It may happen that a service die/A service may die/,0
"@zhiyan, thanks for helping explanation. Overall it's correct. And you're suggestion makes sense for me, will improve it in next PS.
  
  @iccha, actually, this patch is related to https://review.openstack.org/#/c/63707/ in that patch, we're trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. The try/except can make sure we can iterate all the locations to get an available image. I improve it at here since it's breaking some unit test cases since we're introducing some new behaviour by this change. Does it make sense for you?",0
"all the code you have inline below should be refactored and put into a main function
 
  main() {
  ...
  }
  main ""$@""",0
"Are you sure this leads to a color that makes the white letter readable?
  You need to do something on DrawFallbackIconLetter to draw either WHITE or BLACK depending on the luminosity of the background.
  
  Based on W3C recommendations, here's what you do:
  
  def luminance(r, g, b):
  for each c in r,g,b:
  c = c / 255.0
  if c <= 0.03928 then c = c/12.92 else c = ((c+0.055)/1.055) ^ 2.4
  L = 0.2126 * r + 0.7152 * g + 0.0722 * b
  return L
  
  
  l = luminance(r, g, b)
  if l > 0.179 use #000000 else use #ffffff
  
  That's the way to go.
  
  There's already a GetRelativeLuminance that you could use instead, but it's garbage. :)",0
"As we're moving to have tenant in headers, should we probably kill it from the beginning?",0
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
  
  for example:
  
  original one:
  >>> print ""444 %s 444"", ""aaa""
  444 %s 444 aaa
  
  now:
  >>> print ""444 %s 444"" % ""aaa""
  444 aaa 444",0
"better pass by value,<br><br> bool bIsTextCat<br><br>(or just ""bool isTextCat"" to avoid the ugly ""misunderstood Hungarian"" prefix)",0
bool session_adopted_ = false;,0
"Checking the _REG_PAGE_COUNT register is more reliable. Raising an exception skips the following StopDumpingToMemory call, meaning that the audio continues to dump.",0
Could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch?,0
Done,0
Done<br><br>Damn it...,0
fake.VOLUME_ID,0
FK should be data_sources.id,0
"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0
Here should be admin_snapshots_client.reset_snapshot_status,0
"I am confused.
  
  This is the tar process we are checking. If it has exited, why do we need to kill it? its already dead?
  
  We already check the exit code in finish_subprocess.",0
"I have no idea why $(LOCAL_PATH)/genserev.py works...
 
 Why is LOCAL_PATH here have tools it..??
 
 This worked locally, do I have some cruft in out I need to clean up to see this fail properly?",0
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0
"I like this, and my only real feedback is to wonder if this url should look something like:
  
  GET /v2.0/usages/network/:id
  
  ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
  
  (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0
I think port_status_notifier should still be a member of mech_driver (be self.port_status_notifier). Otherwise it may be garbage collected and stop working.,0
"I think trying to establish this->pData == nullptr as a valid state is going down a rat's hole (having to adapt all places that read pData) for no benefit (see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a this->pData == nullptr state not arise)",0
IIFE is malformed.. should be })();,0
i'm not entirely sure how to run a test wit a trybot w/out messing up the live system ...,0
i'm wondering if there isn't a cleaner way to do this? i'm very much abusing jsonutils here!,0
"Indeed, mpu_protect_ram() already did the same thing in commom/system.c. I think this part is useless.",0
"Instead of CloudDBInstance, I would use CloudDatabase.
  
  Needs docstring.",0
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0
"Instead of passing every mock, every time to this function, you could do something like that:
  
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
  
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
  
  
  Remember to stop all mocks in tearDown.",0
"It should be
  
  testr_args += %s % set_name",0
"Line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.",0
"LOG.error instead of LOG.exception
  
  LOG.exception should be used when you have a traceback",0
"Missing Signed-off-by:
 (you can both yours and mine)
 
 git commit --amend -s
 will add yours automatically",0
nit: /* isTest */,0
nit: get*_() instead of compute_(). We're not computing anything.,0
nit: newline after is_source_touch_event_set_non_blocking.,0
nit: these migth be the first check in the routine (I think we'll hit this 99% of cases),0
"nit: use std::make_unique here
  
  _syncedSessionsObserver = std::make_unique<synced_sessions::SyncedSessionsObserverBridge>(
  self, _browserState);",0
nit: validating *a* request body,0
"Please, remove indention of commit message.",0
private_key=keypair['private_key'],0
remove the white space here,0
remove ws here an below.,0
should this maybe be called rootwrap-xenapi? or rootwrap-xen-dom0? I'm wondering if dom0 isn't distinct enough to non-xen for them to know to ignore this file.,0
Should we assert anything here? Or that's already all done by findByFileName?,0
SkRect local_bounds = gfx::RectToSkRect(GetLocalBounds());,0
"so you have rename fields to obj_fields because of here, right?",0
"style is camel case, myClientSecret, myClientId, myRefreshToken",0
these downcasts need to be static_cast now,0
"This _exec_ipmitool() method(will attempt 3 times(L101) if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool() method, default is 3 as below?
  
  def _exec_ipmitool(driver_info, command, attempts=3):
  ...
  
  so we just call it with attempts=1 here for validation action:
  
  _exec_ipmitool(driver_info, mc info, attempts=1)",0
"This cast is unavoidable, since params is a mojom struct. Ditto below.",0
"this kind of string-based flow manipulation should be under ovs_ofctl/.
  probably ofswitch.py",0
This should be a URIOpt instead of StrOpt.,0
"This should be just using ""trans"" instead of ""blocktrans""",0
uint8_t constexpr kUninit = 0xFF;,0
Unfinished docstring.,0
"Use mock_thread_instance = mock.MagicMock(isAlive=mock.MagicMock(return_value=False))
  
  remove L69",0
useless braces,0
What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0
"What test harness are you using for this? Why not use unittest2? It is already installed and has a consistent interface and output. [Just curious... I don't see (from this commit) how these tests are being executed, so I thought I would ask.]",0
Whitespaces should be removed.,0
why aren't you using $ACTUAL_FILTERS instead of writing them by hand?,0
"Wouldn't it be better to re-sync the databases? Neutron DB is the master. We don't want to rollback a change just because the slave couldn't commit it.
  
  If Neutron allowed the change, Dragonflow must accept it one way or another.",0
wrap the body of your commit messages at 72 characters.,0
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0
"You can just leave this uncommented, it works with NO_THREAD_SAFETY_ANALYSIS",0
"you can use:
  
  if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0
"You do leave the SPI_TX_CH_ON bit set, though. As a SPI noob I guess I would have thought that you'd turn it off when you flip RX on. ...and if you actually used the packet count I think you _could_ turn it off.
 
 The code will end up putting 0xff on the bus (I think) when you sit and read.",0
you have deleted _prepare_test,0
"(Yuck, I think min and max would actually have to query rd.min() and rd.max()).",0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover ""other cases"" (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(""image url failed fetch returned: <Any HTTP status that you can think about>"")
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover ""other cases"" (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(""image url failed fetch returned: <Any HTTP status that you can think about>"")
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0
"> This approach should cover your example (because user will
  > get a 404). And that should also cover other cases (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
  
  it doesn't 404 was just an example, it can be anything, another example.
  
  - me: upload image http://gdfgdgf
  - glance: NotFound(image url failed fetch returned: <Any HTTP status that you can think about>)
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
  
  Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0
"Actually this should be fully hardcoded.
  
  there are 2 files that have to be:
  rally-scenarios/rally.yaml and rally-scenarios/rally-neutron.yaml (these names are hardcoded, and if there is no such files our CI/CD will fail)
  
  So you should check that they exist and that there is no bullshit inside
  
  so here should be something like:
  
  def test_schema_is_valid(self, mock_validate):
  
  rutils.load_plugins(os.path.join(self.rally_scenarios_path, ""plugins""))
  
  for cfg in [""rally.yaml"", ""rally-neutron.yaml""]:
  full_path = os.path.join(rally_scenarios_path, cfg)
  with open(full_path) as f:
  ....",0
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",0
Ah damn I misread the bug -_-,0
All this shit will be better in the next patch.,0
"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",0
"Anal, but I can mention it may be used by third party packages. :)",0
any reasons for not using @decorators or context managers here? It's strange you don't stop these mocks.,0
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,0
"Because the : operator is dumb, it doesn't take nullopt here, and
  kerberos_files_handler_.SetFiles(
  response.files().has_krb5cc() ? response.files().krb5cc()
  : base::Optional<std::string>(),
  response.files().has_krb5conf() ? response.files().krb5conf()
  : base::Optional<std::string>());
 is one line longer and less readable.",0
Can we reduce this down to 1 sec or so? 5 seems awful large!,0
"Crap, I thought I had that in there.",0
"Crap, this is an artifact of a previous revision. It's simply the last time a change was made to Tuskar's cloud.",0
crap. i suspect we're really just papering over the real bug here.,0
Crap. Sorry about that. Done.,0
"Dammit... good catch... 
  
  Done",0
"Damn you're right, should be
 
 static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_') ;
 uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
 return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;",0
Damn! Thought I caught all those! Thanks.,0
"damn, and I thought I had gotten it right :P",0
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now, I guess.",0
"damn, i thought i got all those.",0
Damn. I thought I'd removed those. Sorry.,0
damn.. I missed that one. Thanks,0
"damnit, I hate it when I forget to save the file before I commit ;-)
 
 yes they were notes as I was coding the C file
 
 Done.",0
"darn, I wished we had passed the context here! Technically speaking this change was introduced by abc16ebf in Kilo. Perhaps we can tweak it to add the context, before Kilo ships? Besides, it looks like an internal API.
  
  Thoughts?",0
"darn. you right. :)
  
  peer programming works! or sileht programming works.",0
"doesn't this just mean we fucked up the mips syscall.S in bionic? the other architectures move the syscall number into the appropriate register and then make that system call directly. on mips, we actually use a 'syscall' system call. i don't think that's necessary, and we should just fix the mips syscall.S in bionic.
 
 (is __NR_syscall even implemented? i can't find it in the kernel source.)",0
doh. its awful! it should not be our work...,0
"Done, if ugly.",0
"Done.
 Of course, excuse the brain fart :)",0
